"",A,B,C,D,F,I,S,U,V,W Aver. Total
Computer Science - CS 1371 GR1,,,,,,,1,,,1
Computer Science - CS 1371 LS,2,3,2,,1,,,,,2.63 8
Computer Science - CS 1371 O1,6,3,3,2,4,,,,,4 2.28 22
Computer Science - CS 1371 SF2,3,2,3,1,1,,,,,2.50 10
Computer Science - CS 2050 RBA,20,14,1,,,,,,,3.54 35
Computer Science - CS 2110 A01,18,17,8,3,1,1,,,,2 3.02 50
Computer Science - CS 2200 A01,22,12,1,1,2,1,,,,1 3.34 40
Computer Science - CS 2316 A01,20,10,2,,,,,,,3.56 32
Computer Science - CS 2316 R,18,5,1,,,,,,,3.71 24
Computer Science - CS 2340 A,81,6,2,,1,,,,,2 3.84 92
Computer Science - CS 2699 S06,2,,,,,,,,,4.00 2
Computer Science - CS 2803 DWD,9,,,,,,,,,4.00 9
Computer Science - CS 3251 A,10,6,9,,1,,,,,3 2.92 29
Computer Science - CS 3311 JDA,22,,4,,,,,,,3.69 26
Computer Science - CS 3312 JIA,14,2,1,,,,,,,3.76 17
Computer Science - CS 3510 A,9,4,6,2,1,,,,,3 2.82 25
Computer Science - CS 3600 A,19,11,5,,3,,,,,7 3.13 45
Computer Science - CS 3651 A,5,3,,,,,,,,3.63 8
Computer Science - CS 3750 A,29,,,,,,,,,4.00 29
Computer Science - CS 3750 B,27,4,1,,,,,,,1 3.81 33
Computer Science - CS 3750 RBA,31,1,,,,,,,,3.97 32
Computer Science - CS 4001 A,19,7,1,1,2,,,,,3.33 30
Computer Science - CS 4001 B,9,7,4,1,,,,,,3 3.14 24
Computer Science - CS 4001 C,32,2,1,,,,,,,3.89 35
Computer Science - CS 4001 R,16,18,,,,,,,,3.47 34
Computer Science - CS 4001 RBA,40,,,,,,,,,4.00 40
Computer Science - CS 4001 RCH,7,5,,,,,,,,1 3.58 13
Computer Science - CS 4261 A,8,4,,,,,,,,1 3.67 13
Computer Science - CS 4290 A,1,1,2,,,,,,,2 2.75 6
Computer Science - CS 4400 R,45,9,,,,,,,,3.83 54
Computer Science - CS 4400 RBA,21,11,,,,,,,,3.66 32
Computer Science - CS 4455 A,6,3,1,1,3,,,,,1 2.57 15
Computer Science - CS 4460 A,6,16,3,,,,,,,3 3.12 28
Computer Science - CS 4460 RBA,32,2,,,,,,,,3.94 34
Computer Science - CS 4590 A,3,5,1,,,,,,,3.22 9
Computer Science - CS 4605 A,14,2,,,,,,,,3.88 16
Computer Science - CS 4641 A,32,17,2,1,2,,,,,12 3.41 66
Computer Science - CS 4641 QUP,11,4,,,,,,,,5 3.73 20
Computer Science - CS 4660 A,6,5,,,,,,,,3.55 11
Computer Science - CS 4660 RBA,25,,,,,,,,,4.00 25
Computer Science - CS 4698 A08,,,,,,,,,1,1
Computer Science - CS 4698 B17,,,,,,,,,1,1
Computer Science - CS 4698 D11,,,,,,,,,1,1
Computer Science - CS 4698 F08,,,,,,,,,1,1
Computer Science - CS 4699 B02,1,,,,,,,,,4.00 1
Computer Science - CS 4699 R08,2,,,,,,,,,4.00 2
Computer Science - CS 4699 S06,4,,,,,,,,,4.00 4
Computer Science - CS 4699 T02,1,,,,,,,,,4.00 1
Computer Science - CS 4699 T08,1,,,,,,,,,4.00 1
Computer Science - CS 4731 A,13,5,1,,1,,,,,2 3.45 22
Computer Science - CS 4803 MLT,1,,,,,2,,,,4.00 3
Computer Science - CS 4903 R12,1,,,,,,,,,4.00 1
Computer Science - CS 4903 UTA,4,,,,,,,,,4.00 4
Computer Science - CS 4903 UTA,A,B,C,D,F,I,S,U,V,W Aver. Total
Computer Science - CS 4980 K09,2,,,,,,,,,4.00 2
Computer Science - CS 4980 R08,1,,,,,,,,,4.00 1
Computer Science - CS 6035 A,1,,,,,,,,,4.00 1
Computer Science - CS 6035 O01,208,64,11,1,5,3,,,,49 3.62 341
Computer Science - CS 6250 O01,146,37,17,3,,1,,,,53 3.61 257
Computer Science - CS 6262 O01,157,55,5,3,5,3,,,,35 3.58 263
Computer Science - CS 6262 QSA,,,,,,35,,,,35
Computer Science - CS 6290 A,6,2,,,,,1,,1,2 3.75 12
Computer Science - CS 6300 O01,139,28,7,5,1,,,,,18 3.66 198
Computer Science - CS 6310 O01,84,20,1,1,2,,,,,16 3.69 124
Computer Science - CS 6340 O01,39,36,3,4,1,2,,,,50 3.30 135
Computer Science - CS 6400 O01,64,58,4,4,1,3,,,,9 3.37 143
Computer Science - CS 6457 A,9,,1,,,,,1,,1 3.80 12
Computer Science - CS 6460 A,7,,,,,,,,,4.00 7
Computer Science - CS 6460 O01,169,6,1,,,2,,,,11 3.95 189
Computer Science - CS 6601 O01,140,45,15,6,,2,,,,71 3.55 279
Computer Science - CS 6750 O01,152,27,1,2,1,,,,,24 3.79 207
Computer Science - CS 6998 B20,,1,,,,,,,,3.00 1
Computer Science - CS 6998 H10,1,,,,,,,,,4.00 1
Computer Science - CS 6999 G02,1,,,,,,,,,4.00 1
Computer Science - CS 6999 H11,1,,,,,,,,,4.00 1
Computer Science - CS 6999 R04,1,,,,,,,,,4.00 1
Computer Science - CS 6999 R08,1,,,,,,,,,4.00 1
Computer Science - CS 6999 W12,1,,,,,,,,,4.00 1
Computer Science - CS 6999 Z01,,1,,,,,,,,3.00 1
Computer Science - CS 7000 G02,,,,,,,1,,,1
Computer Science - CS 7000 H08,,,,,,,1,,,1
Computer Science - CS 7000 H11,,,,,,,1,,,1
Computer Science - CS 7000 OAG,,,,,,,1,,,1
Computer Science - CS 7000 S20,,,,,,,1,,,1
Computer Science - CS 7632 A,8,2,,,,,,,3,3.80 13
Computer Science - CS 7642 O03,153,65,7,2,2,,,,,50 3.59 279
Computer Science - CS 7646 A,30,13,2,2,,1,3,,2,11 3.51 64
Computer Science - CS 7646 O01,98,41,10,1,3,1,,,,43 3.50 197
Computer Science - CS 8803 MAS,11,1,,,,1,2,,1,3.92 16
Computer Science - CS 8803 O01,92,53,7,5,6,40,,,,40 3.35 243
Computer Science - CS 8803 O02,50,14,4,,2,,,,,35 3.57 105
Computer Science - CS 8803 O04,4,3,,,1,,,,,5 3.13 13
Computer Science - CS 8803 O07,28,22,,,,,,,,5 3.56 55
Computer Science - CS 8803 O08,25,3,1,1,,1,,,,7 3.73 38
Computer Science - CS 8903 A01,2,,,,,,,,,4.00 2
Computer Science - CS 8903 B04,1,,,,,,,,,4.00 1
Computer Science - CS 8903 B17,1,,,,,,,,,4.00 1
Computer Science - CS 8903 C04,,,,,,,1,,,1
Computer Science - CS 8903 D07,1,,,,,,,,,4.00 1
Computer Science - CS 8903 E03,1,,,,,,,,,4.00 1
Computer Science - CS 8903 G02,1,,,,,,,,,4.00 1
Computer Science - CS 8903 H11,2,,,,,,,,,4.00 2
Computer Science - CS 8903 I01,1,,,,,,,,,4.00 1
Computer Science - CS 8903 K06,1,,,,,,,,,4.00 1
Computer Science - CS 8903 K12,1,,,,,,,,,4.00 1
Computer Science - CS 8903 L05,4,,,,,,,,,4.00 4
Computer Science - CS 8903 M08,,,,,,1,,,,1
Computer Science - CS 8903 OAG,1,,,,,,,,,4.00 1
Computer Science - CS 8903 OCP,1,,,,,,,,,4.00 1
Computer Science - CS 8903 OJE,,,,,1,,,,,0.00 1
Computer Science - CS 8903 OJH,1,,,,,,,,,4.00 1
Computer Science - CS 8903 OMB,4,,,,,,,,,4.00 4
Computer Science - CS 8903 OMB,A,B,C,D,F,I,S,U,V,W Aver. Total
Computer Science - CS 8903 P02,1,,,,,,,,,4.00 1
Computer Science - CS 8903 P15,1,,,,,,,,,4.00 1
Computer Science - CS 8903 P16,1,,,,,,,,,4.00 1
Computer Science - CS 8903 R02,1,,,,,,,,,4.00 1
Computer Science - CS 8903 R12,2,,,,,,,,,4.00 2
Computer Science - CS 8903 T02,1,,,,,,,,,4.00 1
Computer Science - CS 8903 V02,1,,,,,,,,,4.00 1
Computer Science - CS 8903 V03,1,,,,,,,,,4.00 1
Computer Science - CS 8903 W09,1,,,,,,,,,4.00 1
Computer Science - CS 8903 Z01,,,,,,,1,,,1
Computer Science - CS 8997 GTA,,,,,,,,,36,36
Computer Science - CS 8998 GRA,,,,,,,,,33,33
Computer Science - CS 8999 A01,,,,,,,1,,,1
Computer Science - CS 8999 A08,,,,,,,1,,,1
Computer Science - CS 8999 B05,,,,,,,1,,,1
Computer Science - CS 8999 B07,,,,,,,1,,,1
Computer Science - CS 8999 B17,,,,,,,1,,,1
Computer Science - CS 8999 B19,,,,,,,1,,,1
Computer Science - CS 8999 C09,,,,,,,1,,,1
Computer Science - CS 8999 C12,,,,,,,1,,,1
Computer Science - CS 8999 D07,,,,,,,1,,,1
Computer Science - CS 8999 D10,,,,,,,1,,,1
Computer Science - CS 8999 E07,,,,,,,2,,,2
Computer Science - CS 8999 G02,,,,,,,2,,,2
Computer Science - CS 8999 H08,,,,,,,3,,,3
Computer Science - CS 8999 K12,,,,,,,2,,,2
Computer Science - CS 8999 L05,,,,,,,4,,,4
Computer Science - CS 8999 M08,,,,,,,1,,,1
Computer Science - CS 8999 M16,,,,,,,1,,,1
Computer Science - CS 8999 O02,,,,,,,2,,,2
Computer Science - CS 8999 P05,,,,,,,1,,,1
Computer Science - CS 8999 P07,,,,,,,1,,,1
Computer Science - CS 8999 P16,,,,,,,1,,,1
Computer Science - CS 8999 R02,,,,,,,1,,,1
Computer Science - CS 8999 R04,,,,,,,1,,,1
Computer Science - CS 8999 R06,,,,,,,1,,,1
Computer Science - CS 8999 R08,,,,,,,1,,,1
Computer Science - CS 8999 R12,,,,,,,3,,,3
Computer Science - CS 8999 V05,,,,,,,1,,,1
Computer Science - CS 8999 VO6,,,,,,,1,,,1
Computer Science - CS 8999 W01,,,,,,,1,,,1
Computer Science - CS 9000 A01,,,,,,,2,,,2
Computer Science - CS 9000 A02,,,,,,,2,,,2
Computer Science - CS 9000 A06,,,,,,,1,,,1
Computer Science - CS 9000 A13,,,,,,,2,,,2
Computer Science - CS 9000 B02,,,,,,,1,,,1
Computer Science - CS 9000 B04,,,,,,,1,,,1
Computer Science - CS 9000 B17,,,,,,,2,,,2
Computer Science - CS 9000 C07,,,,,,,1,,,1
Computer Science - CS 9000 C09,,,,,,,1,,,1
Computer Science - CS 9000 C12,,,,,,,1,,,1
Computer Science - CS 9000 D07,,,,,,,1,,,1
Computer Science - CS 9000 D10,,,,,,,1,,,1
Computer Science - CS 9000 E03,,,,,,,1,,,1
Computer Science - CS 9000 E08,,,,,,,1,,,1
Computer Science - CS 9000 E10,,,,,,,2,,,2
Computer Science - CS 9000 F07,,,,,,,1,,,1
Computer Science - CS 9000 G02,,,,,,,2,,,2
Computer Science - CS 9000 G02,A,B,C,D,F,I,S,U,V,W Aver. Total
Computer Science - CS 9000 G03,,,,,,,1,,,1
Computer Science - CS 9000 G08,,,,,,,2,,,2
Computer Science - CS 9000 G11,,,,,,,2,,,2
Computer Science - CS 9000 I01,,,,,,,4,,,4
Computer Science - CS 9000 K06,,,,,,,3,,,3
Computer Science - CS 9000 K12,,,,,,,2,,,2
Computer Science - CS 9000 L05,,,,,,,6,,,6
Computer Science - CS 9000 L10,,,,,,,2,,,2
Computer Science - CS 9000 M05,,,,,,,1,,,1
Computer Science - CS 9000 M06,,,,,,,1,,,1
Computer Science - CS 9000 M16,,,,,,,1,,,1
Computer Science - CS 9000 N05,,,,,,,1,,,1
Computer Science - CS 9000 O02,,,,,,,3,,,3
Computer Science - CS 9000 P02,,,,,,,1,,,1
Computer Science - CS 9000 P05,,,,,,,1,,,1
Computer Science - CS 9000 P07,,,,,,,3,,,3
Computer Science - CS 9000 P12,,,,,,,1,,,1
Computer Science - CS 9000 P14,,,,,,,1,,,1
Computer Science - CS 9000 P15,,,,,,,2,,,2
Computer Science - CS 9000 Q01,,,,,,,1,,,1
Computer Science - CS 9000 R04,,,,,,,1,,,1
Computer Science - CS 9000 R06,,,,,,,1,,,1
Computer Science - CS 9000 R08,,,,,,,6,,,6
Computer Science - CS 9000 R12,,,,,,,2,,,2
Computer Science - CS 9000 S04,,,,,,,1,,,1
Computer Science - CS 9000 S06,,,,,,,1,,,1
Computer Science - CS 9000 T02,,,,,,,1,,,1
Computer Science - CS 9000 T05,,,,,,,1,,,1
Computer Science - CS 9000 V01,,,,,,,1,,,1
Computer Science - CS 9000 V05,,,,,,,1,,,1
Computer Science - CS 9000 W01,,,,,,,1,,,1
Computer Science - CS 9000 W09,,,,,,,1,,,1
Computer Science - CS 9000 Z01,,,,,,,3,,,3
Cooperative Work Assignment - COOP 2000.,,,,,,,,,5,5
Cooperative Work Assignment - COOP 2000.,,,,,,,,,18,18
Cooperative Work Assignment - COOP 2000.,,,,,,,,,16,16
Cooperative Work Assignment - COOP 2000.,,,,,,,,,3,3
Cooperative Work Assignment - COOP 2000.,,,,,,,,,6,6
Cooperative Work Assignment - COOP 2000.,,,,,,,,,13,13
Cooperative Work Assignment - COOP 4000.,,,,,,,,,29,29
Cooperative Work Assignment - COOP 4000.,,,,,,,,,44,44
Cooperative Work Assignment - COOP 4000.,,,,,,,,,108,108
Cooperative Work Assignment - COOP 4000.,,,,,,,,,28,28
Cooperative Work Assignment - COOP 4000.,,,,,,,,,41,41
Cooperative Work Assignment - COOP 4000.,,,,,,,,,140,140
Cooperative Work Assignment - COOP 6003.,,,,,,,,,1,1
Cooperative Work Assignment - COOP 6006.,,,,,,,,,4,4
Cooperative Work Assignment - COOP 6009.,,,,,,,,,23,23
Cooperative Work Assignment - COOP 6012.,,,,,,,,,666,666
Cooperative Work Assignment - COOP 6012.,,,,,,,,,1,1
Cooperative Work Assignment - COOP 6012.,,,,,,,,,25,25
Cooperative Work Assignment - COOP 6012.,,,,,,,,,63,63
Earth and Atmospheric Sciences - EAS 160.,18,5,,,,,,,,1 3.78 24
Earth and Atmospheric Sciences - EAS 260.,14,10,5,,1,1,1,,,1 3.20 33
Earth and Atmospheric Sciences - EAS 469.,,,,,,,,,1,1
Earth and Atmospheric Sciences - EAS 469.,,,,,,,,,1,1
Earth and Atmospheric Sciences - EAS 469.,,,,,,,,,1,1
Earth and Atmospheric Sciences - EAS 469.,1,,,,,,,,,4.00 1
Earth and Atmospheric Sciences - EAS 469.,A,B,C,D,F,I,S,U,V,W Aver. Total
Earth and Atmospheric Sciences - EAS 469.,1,,,,,,,,,4.00 1
Earth and Atmospheric Sciences - EAS 469.,1,,,,,,,,,4.00 1
Earth and Atmospheric Sciences - EAS 700.,,,,,,,1,,,1
Earth and Atmospheric Sciences - EAS 700.,,,,,,,2,,,2
Earth and Atmospheric Sciences - EAS 700.,,,,,,,2,,,2
Earth and Atmospheric Sciences - EAS 700.,,,,,,,1,,,1
Earth and Atmospheric Sciences - EAS 700.,,,,,,,1,,,1
Earth and Atmospheric Sciences - EAS 799.,,,,,,,,,1,1
Earth and Atmospheric Sciences - EAS 899.,,,,,,,,,2,2
Earth and Atmospheric Sciences - EAS 900.,,,,,,,3,,,3
Earth and Atmospheric Sciences - EAS 900.,,,,,,,3,,,3
Earth and Atmospheric Sciences - EAS 900.,,,,,,,2,,,2
Earth and Atmospheric Sciences - EAS 900.,,,,,,,3,,,3
Earth and Atmospheric Sciences - EAS 900.,,,,,,,2,,,2
Earth and Atmospheric Sciences - EAS 900.,,,,,,,3,,,3
Earth and Atmospheric Sciences - EAS 900.,,,,,,,1,,,1
Earth and Atmospheric Sciences - EAS 900.,,,,,,,3,,,3
Earth and Atmospheric Sciences - EAS 900.,,,,,,,1,,,1
Earth and Atmospheric Sciences - EAS 900.,,,,,,,2,,,2
Earth and Atmospheric Sciences - EAS 900.,,,,,,,2,,,2
Earth and Atmospheric Sciences - EAS 900.,,,,,,,4,,,4
Earth and Atmospheric Sciences - EAS 900.,,,,,,,4,,,4
Earth and Atmospheric Sciences - EAS 900.,,,,,,,4,,,4
Earth and Atmospheric Sciences - EAS 900.,,,,,,,3,,,3
Earth and Atmospheric Sciences - EAS 900.,,,,,,,1,,,1
Earth and Atmospheric Sciences - EAS 900.,,,,,,,4,,,4
Earth and Atmospheric Sciences - EAS 900.,,,,,,,2,,,2
Earth and Atmospheric Sciences - EAS 900.,,,,,,,3,,,3
Earth and Atmospheric Sciences - EAS 900.,,,,,,,5,,,5
Earth and Atmospheric Sciences - EAS 900.,,,,,,,8,,,8
Earth and Atmospheric Sciences - EAS 900.,,,,,,,4,,,4
Economics - ECON 2100 CB,4,4,,1,,,,,,3.22 9
Economics - ECON 2100 SF,4,1,,,,,,,,3.80 5
Economics - ECON 2101 R,11,13,1,,,,,,,3.40 25
Economics - ECON 2105 GM,12,11,2,,,,,,,1 3.40 26
Economics - ECON 2106 MA,10,3,2,,,,,,,3.53 15
Economics - ECON 2106 MO,29,10,3,2,,,,,,2 3.50 46
Economics - ECON 2106 SF,57,24,3,1,,,,,,3.61 85
Economics - ECON 4350 R,10,4,,,,,,,,3.71 14
Economics - ECON 4699 MK1,1,,,,,,,,,4.00 1
Economics - ECON 4901 CR,,,,,,1,,,,1
Economics - ECON 4901 MO,1,,,,,,,,,4.00 1
Economics - ECON 4901 R,1,,,,,,,,,4.00 1
Economics - ECON 4910 MO,1,2,,,,,,,,3.33 3
Economics - ECON 4910 WB,,1,,,,,,,,3.00 1
Economics - ECON 8910 JMC,1,,,,,,,,,4.00 1
Economics - ECON 8910 MO,1,,,,,,,,,4.00 1
Economics - ECON 8910 TB,1,,,,,,,,,4.00 1
Economics - ECON 8990 TB,2,,,,,,,,,4.00 2
Economics - ECON 9000 BK,,,,,,,1,,,1
Economics - ECON 9000 HL,,,,,,,1,,,1
Economics - ECON 9000 JMC,,,,,,,4,,,4
Economics - ECON 9000 MK,,,,,,1,,,,1
Economics - ECON 9000 MK1,,,,,,,1,,,1
Economics - ECON 9000 TB,,,,,,,2,,,2
Economics - ECON 9000 UN,,,,,,,2,,,2
Electrical & Computer Engr - ECE 2020 A,11,9,6,3,1,,,,,2.87 30
Electrical & Computer Engr - ECE 2020 B,24,19,,,,,,,,3.56 43
Electrical & Computer Engr - ECE 2020 B,A,B,C,D,F,I,S,U,V,W Aver. Total
Electrical & Computer Engr - ECE 2020 RCH,5,2,,,,,,,,3.71 7
Electrical & Computer Engr - ECE 2026 A,13,10,7,3,1,,,,,2 2.91 36
Electrical & Computer Engr - ECE 2026 RMZ,4,2,,,,,,,,3.67 6
Electrical & Computer Engr - ECE 2031 A,14,14,3,,,,,,,2 3.35 33
Electrical & Computer Engr - ECE 2031 CS,3,7,2,,,,,,,1 3.08 13
Electrical & Computer Engr - ECE 2035 A,5,6,1,,2,,,,,5 2.86 19
Electrical & Computer Engr - ECE 2036 A,17,8,5,2,,1,,,,5 3.25 38
Electrical & Computer Engr - ECE 2040 A,8,6,5,2,1,,,,,2 2.82 24
Electrical & Computer Engr - ECE 2699 I02,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 2901 RM2,,1,,,,,,,,3.00 1
Electrical & Computer Engr - ECE 2903 H13,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 3005 A,,,,,,,24,2,,26
Electrical & Computer Engr - ECE 3006 A,,,,,,,,,5,5
Electrical & Computer Engr - ECE 3020 A,6,6,,1,,,,,,3.31 13
Electrical & Computer Engr - ECE 3025 A,31,9,,,,,,,,1 3.78 41
Electrical & Computer Engr - ECE 3025 QUP,4,5,,1,,,,,,3.20 10
Electrical & Computer Engr - ECE 3025 RMZ,2,2,,,,,,,,3.50 4
Electrical & Computer Engr - ECE 3030 A,15,7,1,,,,,,,3.61 23
Electrical & Computer Engr - ECE 3040 A,4,4,5,7,1,1,,,,4 2.14 26
Electrical & Computer Engr - ECE 3043 A,9,8,4,,,,,,,4 3.24 25
Electrical & Computer Engr - ECE 3056 A,14,8,4,2,,,,,,1 3.21 29
Electrical & Computer Engr - ECE 3056 QUP,3,1,,,,,,,,3.75 4
Electrical & Computer Engr - ECE 3072 A,10,18,5,,,,,,,1 3.15 34
Electrical & Computer Engr - ECE 3077 A,1,2,4,,,,,,,2 2.57 9
Electrical & Computer Engr - ECE 3077 QUP,2,2,,1,,,,,,2 3.00 7
Electrical & Computer Engr - ECE 3077 RMZ,2,,,,,,,,,4.00 2
Electrical & Computer Engr - ECE 3084 A,7,5,2,1,,2,,,,2 3.20 19
Electrical & Computer Engr - ECE 3084 RMZ,2,,,,,,,,,4.00 2
Electrical & Computer Engr - ECE 3600 A,12,8,5,2,,,,,,4 3.11 31
Electrical & Computer Engr - ECE 3600 QUP,3,1,1,,,1,,,,1 3.40 7
Electrical & Computer Engr - ECE 3710 A,20,14,3,1,,,,,,5 3.39 43
Electrical & Computer Engr - ECE 3710 B,18,13,1,1,,,,,,1 3.45 34
Electrical & Computer Engr - ECE 3710 C,16,7,6,4,,,,,,9 3.06 42
Electrical & Computer Engr - ECE 3710 QUP,13,5,1,,1,,,,,4 3.45 24
Electrical & Computer Engr - ECE 3710 RCH,4,3,,,,,,,,3.57 7
Electrical & Computer Engr - ECE 3710 RMZ,24,8,,,,,,,,1 3.75 33
Electrical & Computer Engr - ECE 3741 L01,11,12,,,,,,,,1 3.48 24
Electrical & Computer Engr - ECE 3741 L02,13,14,1,,,,,,,3.43 28
Electrical & Computer Engr - ECE 3741 L03,14,15,1,,,,,,,3.43 30
Electrical & Computer Engr - ECE 3901 G06,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 3901 RM2,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 3902 RM2,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 3903 I02,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 3903 RM9,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 3951 B25,,,,,,,1,,,1
Electrical & Computer Engr - ECE 3951 C03,,,,,,,1,,,1
Electrical & Computer Engr - ECE 3951 M18,,,,,,,1,,,1
Electrical & Computer Engr - ECE 4011 A05,8,7,,,,,,,,1 3.53 16
Electrical & Computer Engr - ECE 4011 A06,6,1,,,,,,,,3.86 7
Electrical & Computer Engr - ECE 4043 A,6,,,,,,,,,1 4.00 7
Electrical & Computer Engr - ECE 4391 A,8,4,1,,,,,,,1 3.54 14
Electrical & Computer Engr - ECE 4452 A,6,7,2,,,,,,,3.27 15
Electrical & Computer Engr - ECE 4550 A,7,8,3,1,,,,,,1 3.11 20
Electrical & Computer Engr - ECE 4698 12,,,,,,,,,2,2
Electrical & Computer Engr - ECE 4699 I02,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 4699 RM6,2,,,,,,,,,4.00 2
Electrical & Computer Engr - ECE 4699 W12,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 4751 A,6,5,1,1,,1,,,,1 3.23 15
Electrical & Computer Engr - ECE 4751 A,A,B,C,D,F,I,S,U,V,W Aver. Total
Electrical & Computer Engr - ECE 4901 A08,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 4901 C09,5,,,,,,,,,4.00 5
Electrical & Computer Engr - ECE 4902 W12,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 6510 Q,2,1,1,,,,,,,3.25 4
Electrical & Computer Engr - ECE 6510 RSZ,4,1,,,,,,,,3.80 5
Electrical & Computer Engr - ECE 6550 A,15,11,2,,,,,,,5 3.46 33
Electrical & Computer Engr - ECE 6550 Q,5,2,,,,18,,,,1 3.71 26
Electrical & Computer Engr - ECE 6601 A,21,11,,,1,,,,,6 3.55 39
Electrical & Computer Engr - ECE 6601 Q,4,8,,1,,,,,,1 3.15 14
Electrical & Computer Engr - ECE 7000 A07,,,,,,,2,,,2
Electrical & Computer Engr - ECE 7000 A11,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 B25,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 C10,,,,,,,4,,,4
Electrical & Computer Engr - ECE 7000 D9,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 D08,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 F04,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 I02,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 S08,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 S09,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 T01,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 T04,,,,,,,2,,,2
Electrical & Computer Engr - ECE 7000 V06,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 W10,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 Y02,,,,,,,1,,,1
Electrical & Computer Engr - ECE 7000 Z06,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 310,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 A01,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 A08,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 A09,,,,,,,2,,,2
Electrical & Computer Engr - ECE 8900 A11,,,,,,,2,,,2
Electrical & Computer Engr - ECE 8900 A14,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 D05,,,,,,,2,,,2
Electrical & Computer Engr - ECE 8900 D09,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 D10,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 E03,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 G04,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 H03,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 I02,,,,,,,4,,,4
Electrical & Computer Engr - ECE 8900 K07,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 K14,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 L05,,,,,,,3,1,,4
Electrical & Computer Engr - ECE 8900 M07,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 M19,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 R01,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 S22,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 T01,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 T07,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8900 V01,,,,,,1,,,,1
Electrical & Computer Engr - ECE 8900 V06,,,,,,,1,,,1
Electrical & Computer Engr - ECE 8903 A11,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 B11,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 B25,2,,,,,,,,,4.00 2
Electrical & Computer Engr - ECE 8903 D12,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 G04,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 H03,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 H09,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 I02,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 K13,2,,,,,,,,,4.00 2
Electrical & Computer Engr - ECE 8903 K13,A,B,C,D,F,I,S,U,V,W Aver. Total
Electrical & Computer Engr - ECE 8903 M07,4,,,,,,,,,4.00 4
Electrical & Computer Engr - ECE 8903 M19,4,,,,,,,,,4.00 4
Electrical & Computer Engr - ECE 8903 R04,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 S10,,,,,,,,,,1 1
Electrical & Computer Engr - ECE 8903 V06,1,,,,,,,,,4.00 1
Electrical & Computer Engr - ECE 8903 Z07,2,,,,,,,,,4.00 2
Electrical & Computer Engr - ECE 8997 ATL,,,,,,,,,43,43
Electrical & Computer Engr - ECE 8998 ATL,,,,,,,,,272,272
Electrical & Computer Engr - ECE 8999 ATL,,,,,,,11,,,11
Electrical & Computer Engr - ECE 9000 308,,,,,,,4,,,4
Electrical & Computer Engr - ECE 9000 309,,,,,,,3,,,3
Electrical & Computer Engr - ECE 9000 320,,,,,,,2,,,2
